job_id,start_time,duration,end_time,day,is_night
J000,0.4940278630992587,4.1139477833223275,4.607975646421586,0,True
J001,1.394006692036787,3.3126904344406554,4.706697126477442,0,True
J002,4.363799212970415,3.9340480348687716,8.297847247839186,0,True
J003,4.401708236482412,3.6935698172528273,8.095278053735239,0,True
J004,4.792170771800634,3.3193789596107717,8.111549731411404,0,True
J005,6.989499364753006,2.689735103732461,9.679234468485467,0,False
J006,7.011471564845236,3.751397866076219,10.762869430921455,0,False
J007,8.7926842390486,4.672519015137244,13.465203254185845,0,False
J008,10.36668044741078,2.0,12.36668044741078,0,False
J009,14.367803620728878,3.3126773002213312,17.68048092095021,0,False
J010,17.567854603473723,3.389388559063052,20.957243162536777,0,False
J011,20.788227498598445,4.763370252405913,25.55159775100436,0,False
J012,23.277836451887865,3.1244204912520384,26.402256943139903,0,True
J013,24.82532450676524,3.316439636934435,28.141764143699675,1,True
J014,25.114809905279945,3.8153864175036807,28.930196322783626,1,True
J015,26.123820049246067,2.692731725707914,28.816551774953982,1,True
J016,26.34413073615321,4.257951856837311,30.60208259299052,1,True
J017,26.780857428603113,3.0012180840120317,29.782075512615144,1,True
J018,27.382181399394305,3.9656982357704313,31.347879635164738,1,True
J019,28.436506932612648,4.454911779425854,32.8914187120385,1,True
J020,30.512376762573503,2.23336462917049,32.74574139174399,1,False
J021,31.481065826145862,5.722650433241952,37.20371625938782,1,False
J022,35.88424584267048,3.3705956908819834,39.254841533552465,1,False
J023,37.02470599579796,2.7955269871623147,39.82023298296027,1,False
J024,38.58107644563452,3.0197969199152705,41.600873365549795,1,False
J025,39.900534824495566,3.8114791306048987,43.71201395510047,1,False
J026,40.42159263629176,2.6827582442595217,43.10435088055129,1,False
J027,41.496172032983694,4.210198767674686,45.70637080065838,1,False
J028,42.5104883204627,3.3342672879163406,45.84475560837904,1,False
J029,43.8897002196463,2.422657522110923,46.312357741757225,1,False
J030,46.12498164055481,4.205408831158889,50.3303904717137,1,True
J031,47.270031066349404,3.67491065284309,50.94494171919249,1,True
J032,48.610059041858285,4.157522003500179,52.76758104535846,2,True
J033,49.52540040686457,2.6149320207951776,52.14033242765975,2,True
J034,50.58939424783931,3.569637654590537,54.159031902429845,2,True
J035,50.87026190251924,4.3028263183136195,55.17308822083286,2,True
J036,55.54454354583184,3.260794119627306,58.80533766545915,2,False
J037,55.94155259646358,4.280436101697887,60.22198869816147,2,False
J038,59.851094312745374,2.0,61.851094312745374,2,False
J039,60.205696587952865,3.3242624897299904,63.529959077682854,2,False
J040,63.301379312525114,3.442391902735733,66.74377121526085,2,False
J041,65.11787489335188,3.789116484406731,68.90699137775862,2,False
J042,65.51054828011354,2.5430347007354634,68.053582980849,2,False
J043,66.50321231890946,4.730429253172775,71.23364157208223,2,False
J044,73.84751783589103,4.094969027016981,77.94248686290801,3,True
J045,74.8767688160084,3.8623490612268077,78.7391178772352,3,True
J046,77.33058745129753,3.776414355111013,81.10700180640855,3,True
J047,78.95403486993044,3.9011586652198442,82.85519353515028,3,False
J048,79.63208339932473,3.2946958538459565,82.92677925317068,3,False
J049,79.75687036849813,3.3671512733191475,83.12402164181728,3,False
J050,81.84919015285512,2.8685933370416636,84.71778348989677,3,False
J051,82.25058692703016,3.205739420693791,85.45632634772394,3,False
J052,84.45097492184078,2.74555455322619,87.19652947506697,3,False
J053,91.28812984557875,4.597489706839822,95.88561955241858,3,False
J054,91.63235438213984,2.0,93.63235438213984,3,False
J055,92.91505416450522,4.426549322345622,97.34160348685084,3,False
J056,93.50619119816383,3.640442635163866,97.1466338333277,3,False
J057,96.88528673650879,3.548184167952821,100.43347090446161,4,True
J058,96.97860339731433,3.0469618163177823,100.0255652136321,4,True
J059,97.23549002999974,5.470593689988229,102.70608371998797,4,True
J060,99.47747693018935,3.74123787386689,103.21871480405625,4,True
J061,100.18479429611979,2.7644606126129574,102.94925490873274,4,True
J062,101.70330105581759,4.10154642614942,105.80484748196702,4,True
J063,102.68751514167867,3.346111228175102,106.03362636985378,4,False
J064,102.83617186505923,3.4787888996406267,106.31496076469986,4,False
J065,107.74686624666151,4.414258251612017,112.16112449827352,4,False
J066,108.8585924177942,2.707570939895449,111.56616335768965,4,False
J067,110.1814306365178,2.259469255147094,112.4408998916649,4,False
